feature,importance
card_bucket,20.63723406245428
pot_bb,11.235982028165301
stack_bb,8.160045031967613
call_ev,8.07519586136725
keras_equity,6.595681972161534
facing_amount_stack_fraction,6.595593348489213
facing_amount_bb,5.81210267045504
players_in_hand_fraction,5.465915464090771
seat_bucket,5.4145660071576645
suitedness,4.75153105657925
amount_put_in_pot_bb,3.9849917445892844
previous_raises_in_hand,3.242500949899051
stack_to_pot_ratio,2.8435327494018496
paired,2.5408132298204094
amount_put_in_pot_stack_fraction,2.150254936011376
players_left_fraction,1.8740747583659954
can_check,0.39878549097979
previous_raises_by_self_in_hand,0.221198638044261
